TestId , Instruction , Status , Author , Message
199-mult_by-zero , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
200-mult_minus-large , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
201-mult_minus-ones , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
202-mult_neg-result , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
203-mult_pos-large , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
204-mult_pos-result , mult , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
205-multu_by-zero , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
206-multu_large , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
207-multu_neg-by-pos , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
208-multu_ones , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
209-multu_pos-large , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
210-multu_pos-result , multu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
211-ori_simple-test1 , ori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
212-ori_simple-test2 , ori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
213-ori_zero-extension , ori , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
214-or_simple-test1 , or , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
215-or_simple-test2 , or , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
216-sb_ADDR-1 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
217-sb_ADDR-2352 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
218-sb_ADDR , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
219-sb_instr-mem , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
220-sb_OOB-1 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
221-sb_OOB , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
222-sb_PUTC-1 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
223-sb_PUTC+1 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
224-sb_PUTC+2 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
225-sb_PUTC+3 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
226-sb_PUTC+4 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
227-sb_PUTC , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
228-sb_simple+1 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
229-sb_simple+2 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
230-sb_simple+3 , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
231-sb_simple , sb , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
232-sh_ADDR-2352 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
233-sh_ADDR-2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
234-sh_ADDR , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
235-sh_instr-mem , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
236-sh_OOB-2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
237-sh_OOB+2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
238-sh_OOB , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
239-sh_PUTC-2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
240-sh_PUTC+2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
241-sh_PUTC+4 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
242-sh_PUTC , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
243-sh_simple+2 , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
244-sh_simple , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
245-sh_unaligned , sh , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
246-sll_negative-test , sll , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
247-sll_simple-test , sll , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
248-sllv_negative-test , sllv , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
249-sllv_simple-test , sllv , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
250-sllv_truncation-test , sllv , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
251-slt , slt , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
252-slt_false , slt , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
253-slti , slti , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
254-slti_false , slti , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
255-slti_false-sign-extend , slti , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
256-slt_neg-pos , slt , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
257-slt_neg-pos-false , slt , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
258-sltu_neg-pos , sltu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
259-sltu_neg-pos-false , sltu , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
260-sra_negative-LSB , sra , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
261-sra_negative-MSB , sra , Fail , tomperkins99 , Simulator output:     Simulator exit code:  244
